ym,benchmark_return,strategy_return,cum_benchmark,cum_strategy
2013-11,-0.8724999999999999,0.005,1.4345192977034786,1.5161223641012955
2013-12,-1.315,-1.97,1.415655368938678,1.4862547535285
2014-01,2.49,5.970000000000001,1.450905187625251,1.5749841623141516
2014-02,0.4225,0.85,1.4570352620429676,1.5883715276938217
2014-03,-0.15499999999999997,0.78,1.454776857386801,1.6007608256098336
2014-04,0.9175,2.2,1.4681244350533247,1.6359775637732499
2014-05,1.495,3.01,1.4900728953573719,1.6852204884428248
2014-06,-0.18,-0.21666666666666662,1.4873907641457285,1.681569177384532
2014-07,-0.04999999999999996,-0.036666666666666625,1.4866470687636557,1.6809526020194911
2014-08,1.8075,2.3466666666666667,1.5135182145315589,1.7203989564135487
2014-09,-0.905,-0.905,1.4998208746900483,1.7048293458580062
2014-10,1.4375,1.4375,1.5213807997637179,1.729336267704715
2014-11,1.2675,1.2675,1.540664301400723,1.7512556048978722
2014-12,0.6875,-0.15666666666666668,1.551256368472853,1.7485119711168655
2015-01,4.032500000000001,2.2766666666666664,1.6138107815315208,1.7883197603259593
2015-02,-2.4074999999999998,-1.2766666666666666,1.5749582869661496,1.7654888780524645
2015-03,0.7675000000000001,0.6233333333333333,1.587046091818615,1.7764937587256582
2015-04,-1.035,-0.24,1.5706201647682922,1.7722301737047166
2015-05,-0.47250000000000003,-0.0266666666666667,1.563198984489762,1.7717575789917288
2015-06,-1.575,-0.72,1.5385786004840483,1.7590009244229885
2015-07,1.385,0.6033333333333333,1.5598879141007522,1.7696135633336738
2015-08,0.07499999999999996,0.09999999999999992,1.5610578300363278,1.7713831768970072
2015-09,1.065,0.9199999999999999,1.5776830959262147,1.7876799021244598
2015-10,-0.4275,-0.3966666666666666,1.57093850069113,1.7805887718460327
2015-11,-0.49249999999999994,-0.33499999999999996,1.5632016285752264,1.7746237994603486
2015-12,-0.16749999999999998,-0.16999999999999998,1.5605832658473628,1.771606939001266
2016-01,2.7525,2.07,1.6035383202398115,1.808279202638592
2016-02,1.3375,0.0275,1.6249856452730187,1.8087764794193177
2016-03,0.095,0.017499999999999998,1.626529381636028,1.809093015303216
2016-04,-0.20500000000000002,0.018333333333333333,1.6231949964036743,1.8094246823560218
2016-05,0.14250000000000002,0.028333333333333335,1.6255080492735494,1.8099373526826894
2016-06,2.975,0.021666666666666667,1.6738669137394375,1.810329505775771
2016-07,0.595,0.023333333333333334,1.683826421876187,1.8107519159937853
2016-08,-0.63,0.0275,1.673218315418367,1.8112498727706836
2016-09,-0.34750000000000003,0.024166666666666666,1.6674038817722883,1.8116875914899366
2016-10,-1.5975,0.028333333333333335,1.640767104760976,1.8122009029741923
2016-11,-3.5675,0.04,1.582232738298628,1.812925783335382
2016-12,-0.19,0.0425,1.5792264960958606,1.8136962767932994
2017-01,0.215,0.043333333333333335,1.5826218330624668,1.8144822118465764
2017-02,0.7025,0.04416666666666667,1.5937397514397307,1.8152836081568087
2017-03,-0.10749999999999998,0.06333333333333334,1.592026481206933,1.8164332877753078
2017-04,0.8575,0.06666666666666667,1.6056781082832823,1.8176442433004911
2017-05,0.8899999999999999,0.08166666666666667,1.6199686434470033,1.8191286527658532
2017-06,-0.1375,0.08583333333333333,1.6177411865622637,1.820690071526144
2017-07,0.05750000000000002,0.08916666666666667,1.6186713877445371,1.822313520173255
2017-08,1.495,0.08416666666666667,1.642870524991318,1.8238473007194007
2017-09,-1.15,0.08833333333333333,1.6239775139539179,1.8254583658350363
2017-10,-0.1225,0.09583333333333333,1.6219881414993242,1.8272077634356283
2017-11,-0.034999999999999976,0.10583333333333333,1.6214204456497996,1.8291415583185977
2017-12,0.4925,0.11583333333333333,1.629405941344625,1.8312603139569834
2018-01,-1.7475,0.12166666666666666,1.6009320725196277,1.8334883473389643
2018-02,-1.1175,0.13749999999999998,1.5830416566092207,1.8360093938165551
2018-03,1.2875,0.14416666666666667,1.6034233179380644,1.8386563073593072
2018-04,-1.035,0.15583333333333335,1.5868278865974055,1.8415215467716088
2018-05,1.1075000000000002,0.16083333333333333,1.6044020054414716,1.8444833272593333
2018-06,0.042499999999999996,0.16083333333333333,1.605083876293784,1.8474498712773422
2018-07,-0.6100000000000001,0.16916666666666666,1.595292864648392,1.8505751406429196
2018-08,0.9325,0.1758333333333333,1.6101689706112383,1.8538290685985501
2018-09,-1.32,0.1825,1.58891474019917,1.8572123066487425
2018-10,-0.835,0.19499999999999998,1.575647302118507,1.8608338706467074
2018-11,1.095,0.1975,1.5929006400767045,1.8645090175412347
2018-12,2.7375,0.2041666666666667,1.636506295098804,1.8683157234520482
2019-01,0.52,0.20083333333333334,1.645016127833318,1.8720679241966478
2019-02,-0.4225,0.2041666666666667,1.638065934693222,1.875890062875216
2019-03,2.475,0.19999999999999998,1.6786080665768794,1.8796418430009665
2019-04,-0.52,0.2025,1.6698793046306797,1.8834481177330433
2019-05,3.045,0.71,1.720727129456684,1.8968205993689482
2019-06,1.0175,0.5,1.7382355279989057,1.9063047023657926
2019-07,-0.08,-0.19,1.7368449395765064,1.9026827234312975
2019-08,4.449999999999999,1.4949999999999999,1.814134539387661,1.9311278301465955
2019-09,-1.1225,-0.61,1.7937708791830342,1.9193479503827013
2019-10,-0.044999999999999984,0.25,1.792963682287402,1.924146320258658
2019-11,-0.3825,-0.3466666666666667,1.7861055962026526,1.917475946348428
2019-12,-0.8825,-0.8825,1.7703432143161644,1.9005542211219033
2020-01,3.1275,3.1275,1.8257106983439022,1.9599940543874907
2020-02,3.1825,3.1825,1.883813941318697,2.0223708651683725
2020-03,3.6425,3.6425,1.9524318641312304,2.0960357239321303
2020-04,0.475,0.475,1.9617059154858538,2.105991893620808
2020-05,-0.4125,-0.4125,1.9536138785844746,2.097304677059622
2020-06,0.10250000000000001,0.10250000000000001,1.9556163328100238,2.099454414353608
2020-07,1.4249999999999998,1.4249999999999998,1.9834838655525668,2.1293716397581472
2020-08,-1.4125,-1.4125,1.9554671559516368,2.0992942653465634
2020-09,0.21250000000000002,0.21250000000000002,1.9596225236580338,2.103755265660425
2020-10,-1.2375,-1.2375,1.9353721949277656,2.077721294247877
2020-11,0.435,0.435,1.9437910639757014,2.0867593818778554
2020-12,-0.3525,-0.3525,1.936939200475187,2.079403555056736
2021-01,-1.2675,-1.2675,1.9123884961091642,2.053047114996392
2021-02,-2.3525,-2.3525,1.867399556738196,2.0047491816161016
2021-03,-2.095,-2.095,1.8282775360245307,1.9627496862612441
2021-04,0.9950000000000001,0.9950000000000001,1.8464688975079746,1.9822790456395434
2021-05,0.1975,0.24666666666666665,1.850115673580553,1.987168667285454
2021-06,1.2850000000000001,1.7666666666666666,1.8738896599860633,2.0222753137408307
2021-07,1.6974999999999998,2.2066666666666666,1.9056989369643267,2.0669001889973786
2021-08,-0.22,-0.245,1.9015063993030052,2.061836283534335
2021-09,-1.375,-2.95,1.875360686312589,2.001012113170072
2021-10,0.17750000000000005,2.35,1.878689451530794,2.048035897829569
2021-11,1.07,2.92,1.8987914286621732,2.1078385460461924
2021-12,-0.765,-2.08,1.8842656742329076,2.0639955042884313
2022-01,-2.0475,-3.85,1.8456853345529887,1.9845316773733268
2022-02,-0.7449999999999999,0.029166666666666664,1.831934978810569,1.9851104991125605
2022-03,-3.4974999999999996,0.043333333333333335,1.7678630529266695,1.9859707136621758
2022-04,-4.0200000000000005,0.07083333333333333,1.6967949581990174,1.9873774429176865
2022-05,-0.0675,0.09666666666666666,1.695649621602233,1.98929857444584
2022-06,-0.9575,0.14333333333333334,1.6794137764753916,1.9921499024025457
2022-07,1.9275000000000002,0.20083333333333334,1.7117844770169546,1.9961508034565376
2022-08,-2.975,0.24666666666666667,1.6608588888257,2.001074642105064
2022-09,-4.2475000000000005,0.2775,1.5903139075228283,2.006627624236905
2022-10,-2.105,0.3516666666666666,1.5568377997694727,2.0136842647154714
2022-11,3.4325,0.3641666666666667,1.6102762572465597,2.021017431579477
2022-12,-1.14,0.36833333333333335,1.591919107913949,2.0284615124524614
2023-01,3.5625,0.39166666666666666,1.6486312261333835,2.0364063200429
2023-02,-2.7875,0.4066666666666667,1.6026756307049155,2.044687705744408
2023-03,3.24,0.4041666666666666,1.6546023211397547,2.0529516518884585
2023-04,0.545,0.425,1.6636199037899664,2.0616766964089845
2023-05,-1.4175,0.45999999999999996,1.6400380916537436,2.0711604092124656
2023-06,-0.7125,0.45249999999999996,1.6283528202507105,2.080532410064152
2023-07,-0.6625000000000001,0.46249999999999997,1.6175649828165495,2.090154872460699
2023-08,-0.895,0.4633333333333333,1.6030877762203413,2.0998392567031
2023-09,-3.0925000000000002,0.46249999999999997,1.5535122867407272,2.109551013265352
2023-10,-1.8925,0.4658333333333333,1.524112066714159,2.1193780050688136
2023-11,4.5,0.45416666666666666,1.592697109716296,2.129003513508501
2023-12,3.9724999999999997,0.45,1.655967002399776,2.138584029319289
2024-01,-0.38999999999999996,0.45166666666666666,1.6495087310904168,2.148243300518381
2024-02,-1.5225,0.45416666666666666,1.6243949606595651,2.1579999055082357
2024-03,0.575,0.455,1.6337352316833575,2.1678188050782983
2024-04,-2.8724999999999996,-0.34,1.586806187153253,2.1604482211410323
2024-05,1.6728550000000002,0.683683,1.6133511537953558,2.1752188383527757
2024-06,1.12329725,0.558578,1.6314738829387823,2.1873691322356703
2024-07,2.45733175,2.0783153333333333,1.671564608657195,2.2328295603075246
2024-08,1.4147064999999999,1.4147064999999999,1.6952123418275677,2.2644175452311166
2024-09,1.26418375,1.26418375,1.7166429407809463,2.293043943870077
2024-10,-2.8821465,-2.8821465,1.667166776345731,2.2269550580983637
2024-11,0.9263712500000001,0.9263712500000001,1.6826109300513494,2.2475849295070076
2024-12,-2.261018,-2.261018,1.644566794052921,2.1967666296855666
2025-01,0.5331604999999999,0.5331604999999999,1.6533349745949275,2.2084789216322314
2025-02,2.69969575,2.69969575,1.6979699886373303,2.2681011332191825
2025-03,0.035189250000000005,0.035189250000000005,1.6985674915415567,2.2688992609972036
2025-04,0.41100649999999994,0.41100649999999994,1.7055487143386796,2.2782245844383544
2025-05,-1.321781,-1.321781,1.6830050954868068,2.248111444743919
2025-06,1.4848172499999999,1.4848172499999999,1.707994645462974,2.2814917912747013
2025-07,-0.51392425,-0.51392425,1.6992168467912383,2.2697666516975814
2025-08,0.9480270000000001,0.9480270000000001,1.715325881287368,2.2912846523926707
2025-09,1.1973837500000002,1.1973837500000002,1.7358649146494471,2.3187201224866647
2025-10,0.7120435,0.7120435,1.7482250279429892,2.335230418402023
2025-11,0.59494925,0.59494925,1.7586260796350484,2.349123854262078
2025-12,-0.7765545,-0.7765545,1.7449693896754688,2.3308816272612325
2026-01,-0.03095325,-0.03095325,1.744429264937859,2.3301601436439423
2026-02,2.25342675,2.25342675,1.783738700628797,2.3826685956386533
2026-03,-2.1060152499999996,-2.1060152499999996,1.7461728915734027,2.3324892316575423
2026-04,-0.19553375,-0.19553375,1.7427585342370258,2.3279284279945363
2026-05,0.1018365,0.1018365,1.7445332985317439,2.3302991088281106
2026-06,0.40008275,0.40008275,1.7515128753271756,2.339622233585936
2026-07,-1.585868,-1.585868,1.723736193121482,2.302518913262611
2026-08,0.3042435,0.3042435,1.7289805484462017,2.309524177392483
